customer_state,order_count,total_revenue,avg_order_value,avg_review_score
SP,40501,5770266.19,142.48,4.25
RJ,12350,2055690.45,166.45,3.97
MG,11354,1819277.61,160.23,4.19
RS,5345,861802.4,161.24,4.19
PR,4923,781919.55,158.83,4.24
SC,3546,595208.4,167.85,4.13
BA,3256,591270.6,181.59,3.93
DF,2080,346146.17,166.42,4.13
GO,1957,334294.22,170.82,4.1
ES,1995,317682.65,159.24,4.08
PE,1593,309074.59,194.02,4.08
CE,1279,266463.97,208.34,3.94
PA,946,212027.55,224.13,3.91
MT,886,181441.72,204.79,4.15
MA,717,147807.29,206.15,3.83
