category,order_count,total_revenue,avg_price,total_freight
health_beauty,8836,1258681.34,130.16,182566.73
watches_gifts,5624,1205005.68,201.14,100535.93
bed_bath_table,9417,1036988.68,93.3,204693.04
sports_leisure,7720,988048.97,114.34,168607.51
computers_accessories,6689,911954.32,116.51,147318.08
furniture_decor,6449,729762.49,87.56,172749.3
cool_stuff,3632,635290.85,167.36,84039.1
housewares,5884,632248.66,90.79,146149.11
auto,3897,592720.11,139.96,92664.21
garden_tools,3518,485256.46,111.63,98962.75
toys,3886,483946.6,117.55,77425.95
baby,2885,411764.89,134.34,68353.11
perfumery,3162,399124.87,116.74,54213.84
telephony,4199,323667.53,71.21,71215.79
office_furniture,1273,273960.7,162.01,68571.95
